çÏã∆ì˙,êîó 
2018-11-25,0.0
2018-11-26,44643.0
2018-11-27,32991.0
2018-11-28,62315.0
2018-11-29,50749.0
2018-11-30,37338.0
2018-12-01,15224.0
2018-12-02,0.0
2018-12-03,60358.0
2018-12-04,49138.0
2018-12-05,67979.0
2018-12-06,56409.0
2018-12-07,37465.0
2018-12-08,4994.0
2018-12-09,0.0
2018-12-10,28919.0
2018-12-11,0.0
2018-12-12,55049.0
2018-12-13,53111.0
2018-12-14,41598.0
2018-12-15,14815.0
2018-12-16,0.0
2018-12-17,45232.0
2018-12-18,41700.0
2018-12-19,48225.0
2018-12-20,48647.0
2018-12-21,48920.0
2018-12-22,15489.0
2018-12-23,0.0
2018-12-24,46004.0
2018-12-25,41384.0
2018-12-26,47437.0
2018-12-27,49586.0
2018-12-28,45393.0
2018-12-29,7219.0
2018-12-30,0.0
2018-12-31,0.0
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,21998.0
2019-01-04,44416.0
2019-01-05,18684.0
2019-01-06,0.0
2019-01-07,58452.0
2019-01-08,44440.0
2019-01-09,54063.0
2019-01-10,49240.0
2019-01-11,40441.0
2019-01-12,10352.0
2019-01-13,0.0
2019-01-14,40566.0
2019-01-15,28439.0
2019-01-16,34034.0
2019-01-17,35183.0
2019-01-18,32885.0
2019-01-19,12635.0
2019-01-20,0.0
2019-01-21,39559.0
2019-01-22,29707.0
2019-01-23,44517.0
2019-01-24,42525.0
2019-01-25,31537.0
2019-01-26,7683.0
2019-01-27,0.0
2019-01-28,30491.0
2019-01-29,27248.0
2019-01-30,56485.0
2019-01-31,46061.0
2019-02-01,40115.0
2019-02-02,12853.0
2019-02-03,0.0
2019-02-04,35410.0
2019-02-05,27202.0
2019-02-06,41708.0
2019-02-07,34853.0
2019-02-08,27939.0
2019-02-09,7508.0
2019-02-10,0.0
2019-02-11,53867.0
2019-02-12,33959.0
2019-02-13,35198.0
2019-02-14,33304.0
2019-02-15,26128.0
2019-02-16,6628.0
2019-02-17,0.0
2019-02-18,30623.0
2019-02-19,29898.0
2019-02-20,46755.0
2019-02-21,63793.0
2019-02-22,55430.0
2019-02-23,13063.0
2019-02-24,0.0
2019-02-25,75893.0
2019-02-26,51283.0
2019-02-27,58841.0
2019-02-28,44433.0
2019-03-01,32302.0
2019-03-02,8350.0
2019-03-03,0.0
2019-03-04,52095.0
2019-03-05,37163.0
2019-03-06,43193.0
2019-03-07,41279.0
2019-03-08,35591.0
2019-03-09,12058.0
2019-03-10,0.0
2019-03-11,54270.0
2019-03-12,35186.0
2019-03-13,44243.0
2019-03-14,36164.0
2019-03-15,28505.0
2019-03-16,8007.0
2019-03-17,0.0
2019-03-18,42469.0
2019-03-19,27305.0
2019-03-20,55570.0
2019-03-21,54053.0
2019-03-22,47726.0
2019-03-23,17874.0
2019-03-24,0.0
2019-03-25,50662.0
2019-03-26,35148.0
2019-03-27,55361.0
2019-03-28,55017.0
2019-03-29,45709.0
2019-03-30,10107.0
2019-03-31,0.0
2019-04-01,40646.0
2019-04-02,30631.0
2019-04-03,39356.0
2019-04-04,54052.0
2019-04-05,41108.0
2019-04-06,13414.0
2019-04-07,0.0
2019-04-08,40706.0
2019-04-09,33315.0
2019-04-10,39504.0
2019-04-11,38431.0
2019-04-12,46425.0
2019-04-13,6164.0
2019-04-14,0.0
2019-04-15,30084.0
2019-04-16,32857.0
2019-04-17,40822.0
2019-04-18,42819.0
2019-04-19,34289.0
2019-04-20,14159.0
2019-04-21,0.0
2019-04-22,72806.0
2019-04-23,45536.0
2019-04-24,64393.0
2019-04-25,68403.0
2019-04-26,53590.0
2019-04-27,9657.0
2019-04-28,0.0
2019-04-29,30771.0
2019-04-30,28360.0
2019-05-01,49322.0
2019-05-02,43234.0
2019-05-03,35528.0
2019-05-04,9509.0
2019-05-05,0.0
2019-05-06,33046.0
2019-05-07,29749.0
2019-05-08,33160.0
2019-05-09,37180.0
2019-05-10,33156.0
2019-05-11,10100.0
2019-05-12,0.0
2019-05-13,40644.0
2019-05-14,32233.0
2019-05-15,39622.0
2019-05-16,45281.0
2019-05-17,46235.0
2019-05-18,14925.0
2019-05-19,0.0
2019-05-20,60188.0
2019-05-21,39191.0
2019-05-22,63145.0
2019-05-23,55124.0
2019-05-24,48849.0
2019-05-25,10110.0
2019-05-26,0.0
2019-05-27,38949.0
2019-05-28,31708.0
2019-05-29,55058.0
2019-05-30,51958.0
2019-05-31,46809.0
2019-06-01,14275.0
2019-06-02,0.0
2019-06-03,53647.0
2019-06-04,39714.0
2019-06-05,44404.0
2019-06-06,43678.0
2019-06-07,42695.0
2019-06-08,8301.0
2019-06-09,0.0
2019-06-10,29458.0
2019-06-11,25185.0
2019-06-12,63824.0
2019-06-13,49650.0
2019-06-14,34273.0
2019-06-15,8306.0
2019-06-16,0.0
2019-06-17,36931.0
2019-06-18,33018.0
2019-06-19,40744.0
2019-06-20,43801.0
2019-06-21,41385.0
2019-06-22,18239.0
2019-06-23,0.0
2019-06-24,86394.0
2019-06-25,44435.0
2019-06-26,94872.0
2019-06-27,105615.0
2019-06-28,62192.0
2019-06-29,7905.0
2019-06-30,0.0
2019-07-01,34354.0
2019-07-02,36012.0
2019-07-03,43653.0
2019-07-04,40546.0
2019-07-05,36356.0
2019-07-06,10267.0
2019-07-07,0.0
2019-07-08,37801.0
2019-07-09,31739.0
2019-07-10,41567.0
2019-07-11,41198.0
2019-07-12,36512.0
2019-07-13,0.0
2019-07-14,0.0
2019-07-15,30426.0
2019-07-16,25892.0
2019-07-17,37777.0
2019-07-18,45548.0
2019-07-19,40002.0
2019-07-20,9307.0
2019-07-21,0.0
2019-07-22,35305.0
2019-07-23,30455.0
2019-07-24,52619.0
2019-07-25,0.0
2019-07-26,31769.0
2019-07-27,12281.0
2019-07-28,0.0
2019-07-29,72153.0
2019-07-30,38545.0
2019-07-31,45527.0
2019-08-01,44270.0
2019-08-02,38447.0
2019-08-03,13795.0
2019-08-04,0.0
2019-08-05,59234.0
2019-08-06,43017.0
2019-08-07,43347.0
2019-08-08,38332.0
2019-08-09,30966.0
2019-08-10,8025.0
